Date,Open,High,Low,Close,Volume,Adj Close
2010-06-18,5253.90,5289.10,5239.40,5250.80,1528137700,5250.80
2010-06-17,5237.90,5293.80,5233.20,5253.90,1139301500,5253.90
2010-06-16,5217.80,5257.30,5209.40,5237.90,1026163100,5237.90
2010-06-15,5202.10,5242.10,5149.10,5217.80,1005268900,5217.80
2010-06-14,5163.70,5215.20,5163.70,5202.10,947984700,5202.10
2010-06-11,5132.50,5184.40,5116.70,5163.70,1105133000,5163.70
2010-06-10,5085.90,5149.70,5030.90,5132.50,1364944100,5132.50
2010-06-09,5028.10,5085.90,4998.10,5085.90,1094116700,5085.90
2010-06-08,5069.10,5084.10,4984.70,5028.10,1199075200,5028.10
2010-06-07,5126.00,5126.00,5040.30,5069.10,900731400,5069.10
2010-06-04,5211.20,5261.70,5102.00,5126.00,1209543500,5126.00
2010-06-03,5151.30,5262.50,5151.30,5211.20,1214853100,5211.20
2010-06-02,5163.30,5163.30,5072.50,5151.30,1173782400,5151.30
2010-06-01,5188.40,5192.10,5063.20,5163.30,1325107100,5163.30
2010-05-28,5195.20,5240.30,5186.00,5188.40,1335686800,5188.40
2010-05-27,5038.10,5195.40,5038.10,5195.20,1582638100,5195.20
2010-05-26,4940.70,5097.90,4940.50,5038.10,1833041200,5038.10
2010-05-25,5069.60,5069.60,4898.50,4940.70,1728679200,4940.70
2010-05-24,5062.90,5109.40,5021.60,5069.60,963073500,5069.60
2010-05-21,5073.10,5084.00,4957.10,5062.90,2015042400,5062.90
2010-05-20,5158.10,5230.20,5000.80,5073.10,1706213200,5073.10
2010-05-19,5307.30,5307.30,5158.10,5158.10,1382492300,5158.10
2010-05-18,5262.50,5341.40,5262.50,5307.30,1111763800,5307.30
2010-05-17,5262.90,5327.50,5231.60,5262.50,1200734600,5262.50
2010-05-14,5433.70,5433.70,5245.40,5262.90,1335859100,5262.90
2010-05-13,5383.50,5436.00,5381.50,5433.70,956026200,5433.70
2010-05-12,5334.20,5401.00,5284.60,5383.50,1514156400,5383.50
2010-05-11,5387.40,5387.40,5257.10,5334.20,1450513500,5334.20
2010-05-10,5123.00,5399.80,5123.00,5387.40,2324845200,5387.40
2010-05-07,5261.00,5264.50,5045.30,5123.00,2758104400,5123.00
2010-05-06,5341.90,5371.50,5251.30,5261.00,1701949400,5261.00
2010-05-05,5411.10,5428.80,5304.60,5341.90,1997069600,5341.90
2010-05-04,5553.30,5566.00,5398.90,5411.10,1735870400,5411.10
2010-04-30,5617.80,5643.90,5540.60,5553.30,1439125100,5553.30
2010-04-29,5586.60,5638.80,5579.70,5617.80,1210397200,5617.80
2010-04-28,5603.50,5640.00,5533.60,5586.60,1832767000,5586.60
2010-04-27,5753.90,5758.60,5603.50,5603.50,1516491200,5603.50
2010-04-26,5723.60,5800.70,5723.60,5753.90,1036747800,5753.90
2010-04-23,5665.30,5740.90,5665.30,5723.60,1002800000,5723.60
2010-04-22,5723.40,5761.40,5652.40,5665.30,1139851400,5665.30
